1.380000    0.013070    0	0	5       0.480000    1.210000    1.316000    0.296000   0.799600
1.380000    0.002510    0	0	5       0.480000    1.210000    1.316000    0.296000   0.799600
1.380000    0.004410    0	0	2       0.480000    2.430000    
1.600000    0.069000    0	0	3       2.010000    1.070000    0.799600
1.860000    0.156900    0	0	4       1.210000    1.316000    0.296000    0.799600
1.860000    0.052900    0	0	1       2.430000   
1.860000    0.030100    0	0	4       2.430000    0.097000    0.296000    0.799600
2.024000    0.020000    1	0	3       1.590000    1.070000    0.799600
2.024000    0.080000    1	0	3       2.360000    0.296000    0.799600
2.413000    0.040300    3	0	4       0.860000    1.110000    0.296000    0.799600
2.413000    0.028700    3	0	3       0.860000    1.410000    0.799600
2.413000    0.030000    3	0	2       2.270000    0.799600
4.207000    0.280000    3	0	0       0
4.207000    0.012800    3	0	1       0.083000   
4.207000    0.007200    3	0	4       0.083000    0.097000    0.296000    0.799600
4.386000    0.200000    1	0	2       0.296000    0.799600
