1.038100    0.006100    0	1	0       0
1.038100    0.017900    0	1	3       0.763130    0.583187    2.614511
1.038100    0.002310    0	1	1       0.252610    
1.038100    0.005490    0	1	4       0.252610    0.510770    0.583187    2.614511
1.079200    0.002100    1	1	0       0
1.079200    0.002400    1	1	3       0.722040    0.583187    2.614511
1.079200    0.001800    1	1	1       0.211400    
1.290600    0.022400    0	1	0       0
1.290600    0.215378    0	1	3       0.510770    0.583187    2.614511
1.290600    0.004300    0	1	2       1.093900    2.614511
1.523900    0.035393    1	1	0       0
1.523900    0.122125    1	1	2       0.860557    2.614511
1.523900    0.064480    1	1	3       0.277371    0.583187    2.614511
1.801300    0.491000    0	1	2       0.583187    2.614511

