0.1140   0.7907
0.1177   0.8017
0.1215   0.8092
0.1254   0.8120
0.1295   0.8094
0.1337   0.8045
0.1380   0.7986
0.1425   0.7922
0.1471   0.7860
0.1519   0.7807
0.1568   0.7782
0.1619   0.7802
0.1672   0.7859
0.1726   0.7943
0.1782   0.8048
0.1840   0.8184
0.1900   0.8349
0.1958   0.8542
0.2013   0.8755
0.2072   0.8982
0.2140   0.9145
0.2209   0.9209
0.2281   0.9198
0.2355   0.9150
0.2431   0.9071
0.2510   0.8988
0.2591   0.8908
0.2675   0.8833
0.2762   0.8782
0.2852   0.8746
0.2944   0.8734
0.3040   0.8749
0.3139   0.8772
0.3240   0.8807
0.3341   0.8846
4.1304   0.9338
4.2644   0.9366
4.4996   0.9347
4.7134   0.9366
